id,name,url,price
60,Смартфон Sony Xperia XZ1 Compact,https://market.yandex.ru/product--smartfon-sony-xperia-xz1-compact/1731730369?show-uid=15490588298029098197316060&nid=54726&context=search,23150
61,Смартфон Meizu M6T 3/32GB,https://market.yandex.ru/product--smartfon-meizu-m6t-3-32gb/101656192?show-uid=15490588298029098197316061&nid=54726&context=search,8150
62,Смартфон Xiaomi Redmi S2 3/32GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-s2-3-32gb/43052222?show-uid=15490588298029098197316062&nid=54726&context=search,9800
63,Смартфон Samsung Galaxy S8+ 64GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-s8-64gb/1722193758?show-uid=15490588298029098197316063&nid=54726&context=search,29890
64,Смартфон Samsung Galaxy S9+ 64GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-s9-64gb/1968987802?show-uid=15490588298029098197316064&nid=54726&context=search,39990
65,Смартфон Apple iPhone SE 32GB,https://market.yandex.ru/product--smartfon-apple-iphone-se-32gb/1721921261?show-uid=15490588298029098197316065&nid=54726&context=search,17399
66,Смартфон ASUS ZenFone Max Pro M1 ZB602KL 4/128GB,https://market.yandex.ru/product--smartfon-asus-zenfone-max-pro-m1-zb602kl-4-128gb/198685275?show-uid=15490588298029098197316066&nid=54726&context=search,16355
67,Смартфон Xiaomi Mi8 Lite 6/128GB,https://market.yandex.ru/product--smartfon-xiaomi-mi8-lite-6-128gb/218543393?show-uid=15490588298029098197316067&nid=54726&context=search,16500
68,Смартфон ZTE Blade A6,https://market.yandex.ru/product--smartfon-zte-blade-a6/1733139924?show-uid=15490588298029098197316068&nid=54726&context=search,7880
69,Смартфон HUAWEI P20,https://market.yandex.ru/product--smartfon-huawei-p20/32299386?show-uid=15490588298029098197316069&nid=54726&context=search,27990
70,Смартфон HUAWEI Nova 3 4/128GB,https://market.yandex.ru/product--smartfon-huawei-nova-3-4-128gb/125682532?show-uid=15490588298029098197316070&nid=54726&context=search,27120
71,Смартфон ASUS ZenFone 5 ZE620KL 4/64GB,https://market.yandex.ru/product--smartfon-asus-zenfone-5-ze620kl-4-64gb/1970510782?show-uid=15490588298029098197316071&nid=54726&context=search,20150
72,Смартфон Nokia 7 Plus,https://market.yandex.ru/product--smartfon-nokia-7-plus/1969020656?show-uid=15490588298029098197316072&nid=54726&context=search,19999
73,Смартфон Xiaomi Redmi Note 5 4/64GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-note-5-4-64gb/1968186709?show-uid=15490588298029098197316073&nid=54726&context=search,10250
74,Смартфон Xiaomi Redmi 5 Plus 3/32GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-5-plus-3-32gb/1831859610?show-uid=15490588298029098197316074&nid=54726&context=search,9000
